"LIST OF MATERIAL FOR APPROVAL
DANH M?C V?T T? ?? NGH? PHÊ DUY?T",,,,,,,,,,,,,,,,,,,
Project / D? án: D? án ??u t? xây d?ng c?ng hàng không qu?c t? Gia Bình - giai ?o?n 1.1,,,,,,Date / Ngày:,,,,,,,,,,,,,11/6/2026
Package / Gói th?u: Gói th?u C? ?i?n / MEPF,,,,,,Revision:,,,,,,,,,,,,,1
"H?ng m?c / Items: H? th?ng Public Access / CCTV System  –  Nhà s?n xu?t ?? xu?t / Proposed Manufacturer: Honeywell, Hanwa, AXIS",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
STT,Mô t? theo BOQ / Description as per BOQ,?? trình / Submittal,,Ch? d?n k? thu?t / Technical Specification,,Trình / Submitted,,,,Trình/ Submitted,,,,Trình/ Submitted,,,,"B?o hành
(Th?i gian giao hàng) / Warranty
(Leadtime)",Ghi chú / Note
,,Danh m?c / Catalogue,M?u / Sample,Ch? d?n k? thu?t / Technical specifications,Danh sách nhãn hi?u / Brand name list,Nhãn hi?u 1 / Brand name #1,,,,Nhãn hi?u 2  / Brand name #2,,,,Nhãn hi?u 3  / Brand name #3,,,,,
,,,,,,"Nhãn hi?u, xu?t x? / Brand, Origin",Mã hi?u / Model code,Thông s? k? thu?t / Technical data,?áp ?ng / Comply,"Nhãn hi?u, xu?t x? / Brand, Origin",Mã hi?u / Model code,Thông s? k? thu?t / Technical data,?áp ?ng / Comply,"Nhãn hi?u, xu?t x? / Brand, Origin",Mã hi?u / Model code,Thông s? k? thu?t / Technical data,?áp ?ng / Comply,,
I,Server l?u tr? camera IP / IP Camera Storage Server,,,,,,,,,,,,,,,,,,
1,H? tr? l?u tr? / Storage support,x,,H? tr? l?u tr? Lên t?i 64TB / Storage support: Up to 64TB,"Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,T?i ?a: 8x10TB / Max: 8x10TB,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB2,Lên t?i 80TB / Up to 80TB,?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,S1264 Rack 64 TB / S1264 Rack 64 TB,?áp ?ng toàn b?/ 'Full comply,,
2,? l?u tr? (bao g?m trong thi?t b?) / Storage drive (included),x,,? l?u tr? (bao g?m trong thi?t b?) ? 06 / Storage drive (included): ? 06,"Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,Cung c?p s?n: 6x10TB / Offer: 6x10TB,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB3,8 Khay ? c?ng SATA / 8 SATA HDD Bays,?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,T?ng s? khay ? c?ng: 12 / Total HDD slot: 12,?áp ?ng toàn b?/ 'Full comply,,
3,H? tr? RAID / RAID support,x,,H? tr? RAID Có / RAID support: Yes,"Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,RAID: 1/5/6 / RAID: 1/5/6,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB4,H? tr? RAID-5/6 / Supports RAID-5/6,?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,Dung l??ng l?u tr? m?c ??nh: 56 TB sau khi thi?t l?p RAID 5; Dung l??ng g?c (không RAID): 64 TB (8x8 TB) / Out-of-the-box storage: 56 TB after RAID 5; Out-of-the-box capacity without RAID: 64 TB (8x8 TB),?áp ?ng toàn b?/ 'Full comply,,
4,Hi?u su?t / Performance,x,,Hi?u su?t ?400 Mbps / Performance: ?400 Mbps,"Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,Lên ??n 400 Mbps / Up to 400 Mbps,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB5,T?i ?a 520Mbps / Max. 520Mbps,?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,?áp ?ng cho 192 c?a và b?ng thông ghi hình lên t?i 850 Mbit/s / Qualified for 192 doors and a recording bitrate up to 850 Mbit/s,?áp ?ng toàn b?/ 'Full comply,,
5,Giao th?c / Protocol,x,,Giao th?c Onvif / Protocol: Onvif,"Honeywell, Hanwa, AXIS","Honeywell, USA",HN35640800NR,Chu?n Onvif / Onvif,?áp ?ng toàn b?/Full Comply,"Hanwha, Korea",XRN-6420RB6,"IPv4, IPv6, TCP/IP, UDP/IP, RTP (UDP), RTP (TCP), RTSP, RTCP, NTP, HTTP, DHCP (Máy ch?, Máy khách), SMTP, ICMP, IGMP, ARP, DNS, DDNS, uPnP, HTTPS, SNMP, ONVIF (Profile-S), SUNAPI (Máy ch?, Máy khách) / IPv4, IPv6, TCP/IP, UDP/IP, RTP (UDP), RTP (TCP), RTSP, RTCP, NTP, HTTP, DHCP (Server, Client), SMTP, ICMP, IGMP, ARP, DNS, DDNS, uPnP, HTTPS, SNMP, ONVIF (Profile-S), SUNAPI (Server, Client)",?áp ?ng toàn b?/ 'Full comply,"AXIS, Th?y ?i?n / AXIS, Sweden",AXIS S1264 RACK 64 TB,"Chu?n ONVIF Profile S, G, T, M / ONVIF Profile S, G, T, M",?áp ?ng toàn b?/ 'Full comply,,
